Comp_OID,Symbolic_name,CodingSystemName,SubmitterFirst,SubmitterLast,Submitter_Email,Submitter2,Contact_person_desc,Contact_person_address,Contact_person_phone,Contact_person_email,Contact_person_info,Resp_body_name,Resp_body_address,Resp_body_phone,Resp_body_email,Resp_body_URL,Resp_body_Type,Resp_body_oid,External_OID_flag,externalOIDsubType,replacedBy,Oid_Type,assignment_status,AA_OID,AA_description,Object_description,Date_begun,Date_finalized,Entry_Timestamp,T396mnemonic,Preferred_Realm
2.16.840.1.113883.5,v3codeSystems,HL7 V3 Coding Systems,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,HL7 maintained code systems, , , ,,UV
2.16.840.1.113883.5.1,administrativeGender,Administrative Gender,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,The gender of a person used for adminstrative purposes (as opposed to clinical gender), , , ,,UV
2.16.840.1.113883.5.2,MaritalStatus,MaritalStatus,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Marital status, , , ,,UV
2.16.840.1.113883.5.1001,actMood,Act Mood,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,HL7 Structural code system Act mood code; as specified by the Version 3 Data Types specification., ,2009/09/11 12:00:00, ,,UV
2.16.840.1.113883.5.1002,actRelationshipType,Act Relationship Type,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Act relationship type codes, ,2009/12/22 12:00:00, ,,UV
2.16.840.1.113883.5.1003,Service actor type,Service actor type code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Unknown,,,Service actor type code; as specified by the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1004,Service target type,Service target type code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Unknown,,,Service target type code; as specified by the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1007,DataType,DataType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Data type code; as specified by the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1008,nullFlavor,Null Flavor,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Flavors of null.  As specified in  of the Version 3 Data Types specification., ,2009/12/22 12:00:00, ,,UV
2.16.840.1.113883.5.1009,CompressionALgorithm,CompressionALgorithm,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Compression codes.  As specified by of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1010,IntegrityCheckAlgorithm,IntegrityCheckAlgorithm,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Integrity check algorithm.  As specified by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1011,TelecommunicationAddressUse,TelecommunicationAddressUse,,,masked,,,,,masked,,,,,,,,,Int,,2.16.840.1.113883.5.1119,5,Retired,,,"Telecommunication address use code.  As specified in  of the Version 3 Data Types specification.  Retired as of the Novebmer 2008 Harmonization meeting, and replaced by 2.16.840.1.113883.5.1119 AddressUse.", , , ,,UV
2.16.840.1.113883.5.1012,PostalAddressUse,PostalAddressUse,,,masked,,,,,masked,,,,,,,,,Int,,2.16.840.1.113883.5.1119,5,Retired,,,"Postal Address use code.  As defined by  of the Version 3 Data Types specification.  Retired as of the Novebmer 2008 Harmonization meeting, and replaced by 2.16.840.1.113883.5.1119 AddressUse.", , , ,,UV
2.16.840.1.113883.5.1013,Postal Address part type,Postal Address part type code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Postal Address part type code.  As defined by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1014,Person Name part type,Person Name part type,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Person Name part type as defined by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1015,Person Name part type,Person Name part qualifier,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Person Name part qualifier as defined by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1016,OrganizationNameType,OrganizationNameType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Organization name type code as defined by  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1017,CalendarType,CalendarType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Calendar type.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1018,Calendar cycle one letter code,Calendar cycle one letter code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Calendar cycle one letter code.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1019,Calendar cycle two letter code,Calendar cycle two letter code,,,masked,,,,,masked,,,,,,,,,Int,,,5,Retired,,,Calendar cycle two letter code.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1020,ProbabilityDistributionType,ProbabilityDistributionType,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Probability distribution type code.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1021,PeriodicIntervalOfTimeAbbreviation,PeriodicIntervalOfTimeAbbreviation,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,Periodic Interval of Time literal abbreviations.  As specified in of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1022,GTSAbbreviation,GTSAbbreviation,,,masked,,,,,masked,,,,,,,,,Int,,,5,Complete,,,GTS literal abbreviation.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.5.1023,Event code,Event codes,,,masked,,,,,masked,,,,,,,,,Int,,,5,Unknown,,,Event codes for event-related periodic intervals.  As specified in  of the Version 3 Data Types specification., , , ,,UV
2.16.840.1.113883.6,externalCodeSystems,HL7 Registered External Coding Systems,,,masked,,,,,masked,,,,,,,,,Int,14,,6,Complete,,,External coding systems registered in HL7 with an HL7 OID, , , ,,UV
2.16.840.1.113883.6.1,loinc,Logical Observation Identifier Names and Codes,Clement J.,McDonald,masked,,Daniel Vreeman,"410 West 10th StreetSuite 2000Indianapolis, IN 46202",317-274-9229,masked,Associate Director for Terminology Services,Regenstrief Institute,"410 West 10th StreetSuite 2000Indianapolis, IN 46202",317-423-5500 ,loinc@regenstrief.org,http://www.regenstrief.org,Academic,,Int,,,6,Complete,,HL7,"Logical Observation Identifiers Names and Codes (LOINC&#174;) provides a set of universal codes and names for identifying laboratory and other clinical observations. One of the main goals of LOINC is to facilitate the exchange and pooling of results for clinical care, outcomes management, and research. LOINC was initiated by Regenstrief Institute research scientists who continue to develop it with the collaboration of the LOINC Committee. The LOINC table, LOINC codes, and LOINC panels and forms file are copyright &#169; 1995-2010, Regenstrief Institute, Inc. and the LOINC Committee and available at no cost (http://loinc.org) under the license at http://loinc.org/terms-of-use.The laboratory portion of the LOINC database contains the usual clinical laboratory categories of chemistry, hematology, serology, microbiology (including parasitology and virology), toxicology; as well as categories for drugs and the cell counts, antibiotic susceptibilities, and more. The clinical portion of the LOINC database includes entries for vital signs, hemodynamics, intake/output, EKG, obstetric ultrasound, cardiac echo, radiology report titles, pulmonary ventilator management, document and section titles, patient assessment instruments (e.g. Glascow Coma Score, PHQ-9 depression scale, CMS-required patient assessment instruments), and other clinical observations.LOINC may be accessed at http://loinc.org",2007/07/18 12:00:00,2009/10/14 12:00:00,2013/11/21 03:13:27,LN,UV
2.16.840.1.113883.6.2,icd9cm,National Center for Health Statistics,Michelle,Williamson,masked,,Donna Pickett,"OCD/Classifications and Public Health Data Standards; National Center for Health StatisticsCenters for Disease Control and Prevention3311 Toledo RoadHyattsville, MD 20782","(301) 458-4434, 1.2.4.	Fax  (301) 458-4022",masked,,National Center for Health Statistics,"OCD/Classifications and Public Health Data Standards; National Center for Health StatisticsCenters for Disease Control and Prevention3311 Toledo RoadHyattsville, MD 20782",,,http://www.cdc.gov/nchs/icd9.htm.,Govt body,2.16.840.1.114222,Int,,"2.16.840.113883.6.103, 2.16.840.113883.6.104",6,Retired,,,"The International Classification of Diseases, 9th Revision, Clinical Modification (ICD-9-CM), Volumes I, II (diagnoses) and III (procedures) describes the classification of morbidity and mortality information for statistical purposes and for the indexing of healthcare records by diseases and procedures. The ICD-9-CM codes can be used as the value of the Act.cd attribute.Note that this has been retired in favor of an explicit split between the diagnosis codes and the procedures codes as per the Vocablary TC decision on Wednesday Q4, January 21, 2004.  Replaced by 2.16.840.1.113883.6.103 and 2.16.840.1.113883.6.104 as voted by committee.  -T. Klein", ,2009/10/07 12:00:00, ,I9C,UV
2.16.840.1.113883.6.3,icd10,ICD10,Ted,Klein,masked,,Nenad Kostanjsek,Avenue Appia 201211 Geneva 27Switzerland,+41794755474,masked,Technical Officer for Classifications and Terminologies,World Health Organization,Avenue Appia 201211 Geneva 27Switzerland,+ 41 22 791 21 11,info@who.int,https://who.int,SDO,,Int,,,6,Complete,,HL7 International,"International Classification of Diseases revision 10 (ICD 10)Note this does NOT have the CM changes, and is specifically for international use.This node is the ontological branch in the HL7 OID tree.  The actual ICD10 code systems (the various national and international versions) are defined below this node.", ,2009/10/07 12:00:00,2009/10/06 12:00:00,,UV
2.16.840.1.113883.6.4,icd10PCS,"International Classification of Diseases, 10th Revision, Procedure Coding System (ICD-10-PCS)",Michelle,Williamson,masked,,Pat Brooks,"CMM, HAPG, Division of Acute Care, Centers for Medicare and Medicaid Services, 7500 Security Boulevard; C4-08-06 Baltimore, MD 21244-1850","(410) 786-5318, 1.2.4.	Fax  (410)   - 786-0169",masked,,Centers for Medicare and Medicaid Services,"7500 Security Boulevard; C4-08-06 Baltimore, MD 21244-1850",,,http://cms.hhs.gov/paymentsystems/icd9/icd10.asp,Govt body,,Int,,,6,Complete,,,"The International Classification of Diseases, 10th Revision, Procedure Coding System (ICD-10-PCS), describes the classification of inpatient procedures for statistical purposes and for the indexing of healthcare records by procedures. The ICD-10-PCS codes can be used as the value of the Act.cd attribute", ,2009/10/14 12:00:00,2009/10/14 12:00:00,,UV
2.16.840.1.113883.6.5,snm,SNOMED,,,masked,,,,,masked,,College of American Pathologists,,,,,,,Int,,,6,Complete,,,Systemized Nomenclature in Medicine Reference Terminology (SNOMED RT), ,2009/10/14 12:00:00,2009/10/14 12:00:00,SNM,UV
