CLS,SUBCLS,IN,RXCUI,NAME,TTY
antihypertensive,Thiazide diuretics,chlorothiazide ,2396,chlorothiazide,IN
antihypertensive,Thiazide diuretics,chlorothiazide ,214382,chlorothiazide / methyldopa,MIN
antihypertensive,Thiazide diuretics,chlorothiazide ,214383,chlorothiazide / reserpine,MIN
antihypertensive,Thiazide diuretics,chlorothiazide ,91217,chlorothiazide sodium,PIN
antihypertensive,Thiazide diuretics,chlorothiazide ,213439,chlorothiazide 50 MG/ML Oral Suspension [Diuril],SBD
antihypertensive,Thiazide diuretics,chlorothiazide ,996476,chlorothiazide 500 MG Injection [Diuril],SBD
antihypertensive,Thiazide diuretics,chlorothiazide ,573328,chlorothiazide 50 MG/ML [Diuril],SBDC
antihypertensive,Thiazide diuretics,chlorothiazide ,573336,chlorothiazide 500 MG [Diuril],SBDC
antihypertensive,Thiazide diuretics,chlorothiazide ,1731063,chlorothiazide Injection [Diuril],SBDF
antihypertensive,Thiazide diuretics,chlorothiazide ,92479,chlorothiazide Oral Suspension [Diuril],SBDF
antihypertensive,Thiazide diuretics,chlorothiazide ,1173158,Diuril Injectable Product,SBDG
antihypertensive,Thiazide diuretics,chlorothiazide ,1173159,Diuril Oral Liquid Product,SBDG
antihypertensive,Thiazide diuretics,chlorothiazide ,1173160,Diuril Oral Product,SBDG
antihypertensive,Thiazide diuretics,chlorothiazide ,197475,chlorothiazide 250 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorothiazide ,197476,chlorothiazide 500 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorothiazide ,197477,chlorothiazide 500 MG / reserpine 0.125 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorothiazide ,197959,chlorothiazide 250 MG / methyldopa 250 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorothiazide ,237192,chlorothiazide 250 MG / reserpine 0.125 MG Oral Tablet,SCD
antihypertensive,Thiazide diuretics,chlorothiazide ,309198,chlorothiazide 50 MG/ML Oral Suspension,SCD
antihypertensive,Thiazide diuretics,chlorothiazide ,484152,chlorothiazide 500 MG Injection,SCD
antihypertensive,Thiazide diuretics,chlorothiazide ,315638,chlorothiazide 250 MG,SCDC
antihypertensive,Thiazide diuretics,chlorothiazide ,315639,chlorothiazide 50 MG/ML,SCDC
antihypertensive,Thiazide diuretics,chlorothiazide ,317325,chlorothiazide 500 MG,SCDC
antihypertensive,Thiazide diuretics,chlorothiazide ,1731061,chlorothiazide Injection,SCDF
antihypertensive,Thiazide diuretics,chlorothiazide ,371409,chlorothiazide Oral Suspension,SCDF
antihypertensive,Thiazide diuretics,chlorothiazide ,371410,chlorothiazide Oral Tablet,SCDF
antihypertensive,Thiazide diuretics,chlorothiazide ,372852,chlorothiazide / methyldopa Oral Tablet,SCDF
antihypertensive,Thiazide diuretics,chlorothiazide ,373760,chlorothiazide / reserpine Oral Tablet,SCDF
antihypertensive,Thiazide diuretics,chlorothiazide ,1153863,chlorothiazide / methyldopa Oral Product,SCDG
antihypertensive,Thiazide diuretics,chlorothiazide ,1153864,chlorothiazide / methyldopa Pill,SCDG
antihypertensive,Thiazide diuretics,chlorothiazide ,1153865,chlorothiazide / reserpine Oral Product,SCDG
antihypertensive,Thiazide diuretics,chlorothiazide ,1153866,chlorothiazide / reserpine Pill,SCDG
antihypertensive,Thiazide diuretics,chlorothiazide ,1153867,chlorothiazide Injectable Product,SCDG
antihypertensive,Thiazide diuretics,chlorothiazide ,1153868,chlorothiazide Oral Liquid Product,SCDG
antihypertensive,Thiazide diuretics,chlorothiazide ,1153869,chlorothiazide Oral Product,SCDG
antihypertensive,Thiazide diuretics,chlorothiazide ,1153870,chlorothiazide Pill,SCDG
antihypertensive,Thiazide diuretics,chlorthalidone ,2409,chlorthalidone,IN
antihypertensive,Thiazide diuretics,chlorthalidone ,1007340,chlorthalidone / metoprolol,MIN
antihypertensive,Thiazide diuretics,chlorthalidone ,1007952,chlorthalidone / hydralazine / oxprenolol,MIN
antihypertensive,Thiazide diuretics,chlorthalidone ,1008198,atenolol / chlorthalidone / hydralazine,MIN
antihypertensive,Thiazide diuretics,chlorthalidone ,1235143,azilsartan / chlorthalidone,MIN
antihypertensive,Thiazide diuretics,chlorthalidone ,151195,atenolol / chlorthalidone,MIN
antihypertensive,Thiazide diuretics,chlorthalidone ,214418,chlorthalidone / clonidine,MIN
antihypertensive,Thiazide diuretics,chlorthalidone ,214419,chlorthalidone / reserpine,MIN
antihypertensive,Thiazide diuretics,chlorthalidone ,392466,chlorthalidone / triamterene,MIN
antihypertensive,Thiazide diuretics,chlorthalidone ,812278,chlorthalidone / oxprenolol,MIN
antihypertensive,Thiazide diuretics,chlorthalidone ,1235150,azilsartan medoxomil 40 MG / chlorthalidone 12.5 MG Oral Tablet [Edarbyclor],SBD
antihypertensive,Thiazide diuretics,chlorthalidone ,1235157,azilsartan medoxomil 40 MG / chlorthalidone 25 MG Oral Tablet [Edarbyclor],SBD
antihypertensive,Thiazide diuretics,chlorthalidone ,214081,chlorthalidone 15 MG Oral Tablet [Thalitone],SBD
antihypertensive,Thiazide diuretics,chlorthalidone ,214083,chlorthalidone 25 MG Oral Tablet [Thalitone],SBD
antihypertensive,Thiazide diuretics,chlorthalidone ,746023,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet [Tenoretic],SBD
antihypertensive,Thiazide diuretics,chlorthalidone ,746030,atenolol 50 MG / chlorthalidone 25 MG Oral Tablet [Tenoretic],SBD
