RXCUI,NAME,TTY,ATC_CLS,CLS_NAME,ATC_IN,IN_NAME,IN_RxCUI
104838,tranylcypromine 10 MG Oral Tablet [Parnate],SBD,N06AF,MAOIs,N06AF04,tranylcypromine,10734
563780,tranylcypromine 10 MG [Parnate],SBDC,N06AF,MAOIs,N06AF04,tranylcypromine,10734
369259,tranylcypromine Oral Tablet [Parnate],SBDF,N06AF,MAOIs,N06AF04,tranylcypromine,10734
1182387,Parnate Oral Product,SBDG,N06AF,MAOIs,N06AF04,tranylcypromine,10734
1182388,Parnate Pill,SBDG,N06AF,MAOIs,N06AF04,tranylcypromine,10734
313447,tranylcypromine 10 MG Oral Tablet,SCD,N06AF,MAOIs,N06AF04,tranylcypromine,10734
328687,tranylcypromine 10 MG,SCDC,N06AF,MAOIs,N06AF04,tranylcypromine,10734
374182,tranylcypromine Oral Tablet,SCDF,N06AF,MAOIs,N06AF04,tranylcypromine,10734
1157672,tranylcypromine Oral Product,SCDG,N06AF,MAOIs,N06AF04,tranylcypromine,10734
1157673,tranylcypromine Pill,SCDG,N06AF,MAOIs,N06AF04,tranylcypromine,10734
898701,24 HR trazodone hydrochloride 150 MG Extended Release Oral Tablet [Oleptro],SBD,N06AX,SNRIs,N06AX05,trazodone,10737
898706,24 HR trazodone hydrochloride 300 MG Extended Release Oral Tablet [Oleptro],SBD,N06AX,SNRIs,N06AX05,trazodone,10737
898699,trazodone hydrochloride 150 MG [Oleptro],SBDC,N06AX,SNRIs,N06AX05,trazodone,10737
898705,trazodone hydrochloride 300 MG [Oleptro],SBDC,N06AX,SNRIs,N06AX05,trazodone,10737
898700,trazodone Extended Release Oral Tablet [Oleptro],SBDF,N06AX,SNRIs,N06AX05,trazodone,10737
2654267,trazodone hydrochloride Extended Release Oral Tablet [Oleptro],SBDFP,N06AX,SNRIs,N06AX05,trazodone,10737
1181164,Oleptro Oral Product,SBDG,N06AX,SNRIs,N06AX05,trazodone,10737
1181165,Oleptro Pill,SBDG,N06AX,SNRIs,N06AX05,trazodone,10737
856364,trazodone hydrochloride 150 MG Oral Tablet,SCD,N06AX,SNRIs,N06AX05,trazodone,10737
856369,trazodone hydrochloride 300 MG Oral Tablet,SCD,N06AX,SNRIs,N06AX05,trazodone,10737
856373,trazodone hydrochloride 100 MG Oral Tablet,SCD,N06AX,SNRIs,N06AX05,trazodone,10737
856377,trazodone hydrochloride 50 MG Oral Tablet,SCD,N06AX,SNRIs,N06AX05,trazodone,10737
856381,trazodone hydrochloride 10 MG/ML Oral Solution,SCD,N06AX,SNRIs,N06AX05,trazodone,10737
856382,trazodone hydrochloride 100 MG Oral Capsule,SCD,N06AX,SNRIs,N06AX05,trazodone,10737
856383,trazodone hydrochloride 50 MG Oral Capsule,SCD,N06AX,SNRIs,N06AX05,trazodone,10737
898697,24 HR trazodone hydrochloride 150 MG Extended Release Oral Tablet,SCD,N06AX,SNRIs,N06AX05,trazodone,10737
898704,24 HR trazodone hydrochloride 300 MG Extended Release Oral Tablet,SCD,N06AX,SNRIs,N06AX05,trazodone,10737
856363,trazodone hydrochloride 150 MG,SCDC,N06AX,SNRIs,N06AX05,trazodone,10737
856368,trazodone hydrochloride 300 MG,SCDC,N06AX,SNRIs,N06AX05,trazodone,10737
856372,trazodone hydrochloride 100 MG,SCDC,N06AX,SNRIs,N06AX05,trazodone,10737
856376,trazodone hydrochloride 50 MG,SCDC,N06AX,SNRIs,N06AX05,trazodone,10737
856380,trazodone hydrochloride 10 MG/ML,SCDC,N06AX,SNRIs,N06AX05,trazodone,10737
374183,trazodone Oral Capsule,SCDF,N06AX,SNRIs,N06AX05,trazodone,10737
374184,trazodone Oral Solution,SCDF,N06AX,SNRIs,N06AX05,trazodone,10737
374185,trazodone Oral Tablet,SCDF,N06AX,SNRIs,N06AX05,trazodone,10737
376314,trazodone Extended Release Oral Tablet,SCDF,N06AX,SNRIs,N06AX05,trazodone,10737
1157678,trazodone Oral Liquid Product,SCDG,N06AX,SNRIs,N06AX05,trazodone,10737
1157679,trazodone Oral Product,SCDG,N06AX,SNRIs,N06AX05,trazodone,10737
1157680,trazodone Pill,SCDG,N06AX,SNRIs,N06AX05,trazodone,10737
199820,trimipramine 25 MG Oral Tablet,SCD,N06AA,TCAs,N06AA06,trimipramine,10834
250033,trimipramine 10 MG Oral Tablet,SCD,N06AA,TCAs,N06AA06,trimipramine,10834
313496,trimipramine 100 MG Oral Capsule,SCD,N06AA,TCAs,N06AA06,trimipramine,10834
313498,trimipramine 25 MG Oral Capsule,SCD,N06AA,TCAs,N06AA06,trimipramine,10834
313499,trimipramine 50 MG Oral Capsule,SCD,N06AA,TCAs,N06AA06,trimipramine,10834
328763,trimipramine 100 MG,SCDC,N06AA,TCAs,N06AA06,trimipramine,10834
328764,trimipramine 25 MG,SCDC,N06AA,TCAs,N06AA06,trimipramine,10834
330525,trimipramine 50 MG,SCDC,N06AA,TCAs,N06AA06,trimipramine,10834
335793,trimipramine 10 MG,SCDC,N06AA,TCAs,N06AA06,trimipramine,10834
374238,trimipramine Oral Capsule,SCDF,N06AA,TCAs,N06AA06,trimipramine,10834
374239,trimipramine Oral Tablet,SCDF,N06AA,TCAs,N06AA06,trimipramine,10834
1158830,trimipramine Oral Product,SCDG,N06AA,TCAs,N06AA06,trimipramine,10834
1158831,trimipramine Pill,SCDG,N06AA,TCAs,N06AA06,trimipramine,10834
1086776,vilazodone hydrochloride 10 MG Oral Tablet [Viibryd],SBD,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086780,vilazodone hydrochloride 20 MG Oral Tablet [Viibryd],SBD,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086786,vilazodone hydrochloride 40 MG Oral Tablet [Viibryd],SBD,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086774,vilazodone hydrochloride 10 MG [Viibryd],SBDC,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086779,vilazodone hydrochloride 20 MG [Viibryd],SBDC,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086785,vilazodone hydrochloride 40 MG [Viibryd],SBDC,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086775,vilazodone Oral Tablet [Viibryd],SBDF,N06AX,SNRIs,N06AX24,vilazodone,1086769
2655108,vilazodone hydrochloride Oral Tablet [Viibryd],SBDFP,N06AX,SNRIs,N06AX24,vilazodone,1086769
1186600,Viibryd Oral Product,SBDG,N06AX,SNRIs,N06AX24,vilazodone,1086769
1186601,Viibryd Pill,SBDG,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086772,vilazodone hydrochloride 10 MG Oral Tablet,SCD,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086778,vilazodone hydrochloride 20 MG Oral Tablet,SCD,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086784,vilazodone hydrochloride 40 MG Oral Tablet,SCD,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086770,vilazodone hydrochloride 10 MG,SCDC,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086777,vilazodone hydrochloride 20 MG,SCDC,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086783,vilazodone hydrochloride 40 MG,SCDC,N06AX,SNRIs,N06AX24,vilazodone,1086769
1086771,vilazodone Oral Tablet,SCDF,N06AX,SNRIs,N06AX24,vilazodone,1086769
1164578,vilazodone Oral Product,SCDG,N06AX,SNRIs,N06AX24,vilazodone,1086769
1164579,vilazodone Pill,SCDG,N06AX,SNRIs,N06AX24,vilazodone,1086769
1014431,alanine 7.1 MG/ML / arginine 9.5 MG/ML / cysteine 0.16 MG/ML / glycine 14 MG/ML / histidine 2.8 MG/ML / isoleucine 6.9 MG/ML / leucine 9.1 MG/ML / lysine 7.3 MG/ML / methionine 5.3 MG/ML / phenylalanine 5.6 MG/ML / phosphoric acid 1.2 MG/ML / proline 11.2 MG/ML / serine 5.9 MG/ML / sodium bisulfite 1 MG/ML / threonine 4 MG/ML / tryptophan 1.5 MG/ML / valine 6.6 MG/ML Injectable Solution [Freamine III 10],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
1090639,alanine 8.8 MG/ML / arginine 4.89 MG/ML / calcium chloride 0.004 MEQ/ML / dibasic potassium phosphate 2.61 MG/ML / glucose 100 MG/ML / glycine 4.38 MG/ML / histidine 2.04 MG/ML / isoleucine 2.55 MG/ML / leucine 3.11 MG/ML / lysine 2.47 MG/ML / magnesium chloride 0.01 MEQ/ML / methionine 1.7 MG/ML / phenylalanine 2.38 MG/ML / proline 2.89 MG/ML / serine 2.13 MG/ML / sodium acetate trihydrate 2.97 MG/ML / sodium chloride 0.013 MEQ/ML / threonine 1.79 MG/ML / tryptophan 0.77 MG/ML / tyrosine 0.17 MG/ML / valine 2.47 MG/ML Injectable Solution [Clinimix E 4.25/10],SBD,N06AX,SNRIs,N06AX02,tryptophan,10898
