CLS,ING,RXCUI,NAME,TTY,NDC
GLP1 Agonist,semaglutide,1991302,semaglutide,IN,
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,169413211
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,169413211
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,169413212
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,169413212
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,169413290
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,169413290
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,169413297
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,169413297
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,50090513800
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,5009051380
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,70518214300
GLP1 Agonist,semaglutide,1991311,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,7051821430
GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,169413602
GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,16941362
GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,169413611
GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,169413611
GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,50090513900
GLP1 Agonist,semaglutide,1991317,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,5009051390
GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,169431401
GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,16943141
GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,169431413
GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,169431413
GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,169431430
GLP1 Agonist,semaglutide,2200650,semaglutide 14 MG Oral Tablet [Rybelsus],SBD,169431430
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430301
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,16943031
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430313
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430313
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430330
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430330
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430390
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430390
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430393
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430393
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430399
GLP1 Agonist,semaglutide,2200654,semaglutide 3 MG Oral Tablet [Rybelsus],SBD,169430399
GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,169430701
GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,16943071
GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,169430713
GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,169430713
GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,169430730
GLP1 Agonist,semaglutide,2200658,semaglutide 7 MG Oral Tablet [Rybelsus],SBD,169430730
GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,169413001
GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,16941301
GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,169413013
GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,169413013
GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,50090594900
GLP1 Agonist,semaglutide,2398842,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],SBD,5009059490
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,169452501
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,16945251
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,169452514
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,169452514
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,169452590
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,169452590
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,169452594
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,169452594
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,50090582400
GLP1 Agonist,semaglutide,2553506,0.5 ML semaglutide 0.5 MG/ML Auto-Injector [Wegovy],SBD,5009058240
GLP1 Agonist,semaglutide,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],SBD,169450501
GLP1 Agonist,semaglutide,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],SBD,16945051
GLP1 Agonist,semaglutide,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],SBD,169450514
GLP1 Agonist,semaglutide,2553603,0.5 ML semaglutide 1 MG/ML Auto-Injector [Wegovy],SBD,169450514
GLP1 Agonist,semaglutide,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],SBD,169450101
GLP1 Agonist,semaglutide,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],SBD,16945011
GLP1 Agonist,semaglutide,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],SBD,169450114
GLP1 Agonist,semaglutide,2553803,0.5 ML semaglutide 2 MG/ML Auto-Injector [Wegovy],SBD,169450114
GLP1 Agonist,semaglutide,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],SBD,169451701
GLP1 Agonist,semaglutide,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],SBD,16945171
GLP1 Agonist,semaglutide,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],SBD,169451714
GLP1 Agonist,semaglutide,2553903,0.75 ML semaglutide 2.27 MG/ML Auto-Injector [Wegovy],SBD,169451714
GLP1 Agonist,semaglutide,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],SBD,169452401
GLP1 Agonist,semaglutide,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],SBD,16945241
GLP1 Agonist,semaglutide,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],SBD,169452414
GLP1 Agonist,semaglutide,2554104,0.75 ML semaglutide 3.2 MG/ML Auto-Injector [Wegovy],SBD,169452414
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,169477211
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,169477211
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,169477212
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,169477212
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,169477290
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,169477290
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,169477297
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,169477297
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,50090605100
GLP1 Agonist,semaglutide,2599365,3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],SBD,5009060510
GLP1 Agonist,semaglutide,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",SBD,169418103
GLP1 Agonist,semaglutide,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",SBD,16941813
GLP1 Agonist,semaglutide,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",SBD,169418113
GLP1 Agonist,semaglutide,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",SBD,169418113
GLP1 Agonist,semaglutide,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",SBD,169418190
GLP1 Agonist,semaglutide,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",SBD,169418190
GLP1 Agonist,semaglutide,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",SBD,169418197
GLP1 Agonist,semaglutide,2619154,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",SBD,169418197
GLP1 Agonist,semaglutide,2707549,semaglutide 1.5 MG Oral Tablet [Rybelsus],SBD,169481530
GLP1 Agonist,semaglutide,2707549,semaglutide 1.5 MG Oral Tablet [Rybelsus],SBD,169481530
GLP1 Agonist,semaglutide,2707549,semaglutide 1.5 MG Oral Tablet [Rybelsus],SBD,169481590
GLP1 Agonist,semaglutide,2707549,semaglutide 1.5 MG Oral Tablet [Rybelsus],SBD,169481590
GLP1 Agonist,semaglutide,2707553,semaglutide 4 MG Oral Tablet [Rybelsus],SBD,169480430
GLP1 Agonist,semaglutide,2707553,semaglutide 4 MG Oral Tablet [Rybelsus],SBD,169480430
GLP1 Agonist,semaglutide,2707557,semaglutide 9 MG Oral Tablet [Rybelsus],SBD,169480930
