"rxcui","in","str","unit"
"213439","chlorothiazide","50","MG"
"996476","chlorothiazide","500","MG"
"573328","chlorothiazide","50","MG"
"573336","chlorothiazide","500","MG"
"197475","chlorothiazide","250","MG"
"197476","chlorothiazide","500","MG"
"197477","chlorothiazide","500","MG"
"197477","reserpine","0.125","MG"
"197959","chlorothiazide","250","MG"
"197959","methyldopa","250","MG"
"237192","chlorothiazide","250","MG"
"237192","reserpine","0.125","MG"
"309198","chlorothiazide","50","MG"
"484152","chlorothiazide","500","MG"
"315638","chlorothiazide","250","MG"
"315639","chlorothiazide","50","MG"
"317325","chlorothiazide","500","MG"
"1235150","azilsartan","40","MG"
"1235150","chlorthalidone","12.5","MG"
"1235157","azilsartan","40","MG"
"1235157","chlorthalidone","25","MG"
"214081","chlorthalidone","15","MG"
"214083","chlorthalidone","25","MG"
"2709679","chlorthalidone","12.5","MG"
"746023","atenolol","100","MG"
"746023","chlorthalidone","25","MG"
"746030","atenolol","50","MG"
"746030","chlorthalidone","25","MG"
"884196","chlorthalidone","15","MG"
"884196","clonidine","0.1","MG"
"884202","chlorthalidone","15","MG"
"884202","clonidine","0.2","MG"
"884207","chlorthalidone","15","MG"
"884207","clonidine","0.3","MG"
"1235146","azilsartan","40","MG"
"1235146","chlorthalidone","12.5","MG"
"1235153","azilsartan","40","MG"
"1235153","chlorthalidone","25","MG"
"2709675","chlorthalidone","12.5","MG"
"573920","chlorthalidone","15","MG"
"573922","chlorthalidone","25","MG"
"746021","atenolol","100","MG"
"746021","chlorthalidone","25","MG"
"746028","atenolol","50","MG"
"746028","chlorthalidone","25","MG"
"884194","chlorthalidone","15","MG"
"884194","clonidine","0.1","MG"
"884200","chlorthalidone","15","MG"
"884200","clonidine","0.2","MG"
"884205","chlorthalidone","15","MG"
"884205","clonidine","0.3","MG"
"104248","triamterene","50","MG"
"104248","chlorthalidone","50","MG"
"1235144","azilsartan","40","MG"
"1235144","chlorthalidone","12.5","MG"
"1235151","azilsartan","40","MG"
"1235151","chlorthalidone","25","MG"
"152916","atenolol","50","MG"
"152916","chlorthalidone","12.5","MG"
