CLS,ING,RXCUI,NAME,TTY,NDC
Anticoagulants ,dalteparin,67109,dalteparin,IN,
Anticoagulants ,dalteparin,1008696,dalteparin / dihydroergotamine,MIN,
Anticoagulants ,dalteparin,82137,dalteparin sodium,PIN,
Anticoagulants ,dalteparin,2618842,4 ML dalteparin sodium 2500 UNT/ML Injection [Fragmin],SBD,69025301
Anticoagulants ,dalteparin,2618842,4 ML dalteparin sodium 2500 UNT/ML Injection [Fragmin],SBD,692531
Anticoagulants ,dalteparin,2618842,4 ML dalteparin sodium 2500 UNT/ML Injection [Fragmin],SBD,69025310
Anticoagulants ,dalteparin,2618842,4 ML dalteparin sodium 2500 UNT/ML Injection [Fragmin],SBD,6925310
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,13240691
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,13240691
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,69019501
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,691951
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,69019502
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,691952
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,62195010010
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,6219510010
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,62856025001
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,628562501
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,62856025010
Anticoagulants ,dalteparin,978727,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,6285625010
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,13242691
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,13242691
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,69019601
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,691961
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,69019602
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,691962
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,62195010110
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,6219510110
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,62856050001
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,628565001
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,62856050010
Anticoagulants ,dalteparin,978735,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,6285650010
Anticoagulants ,dalteparin,978737,0.3 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,13242601
Anticoagulants ,dalteparin,978737,0.3 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,1324261
Anticoagulants ,dalteparin,978737,0.3 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,69020601
Anticoagulants ,dalteparin,978737,0.3 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,692061
Anticoagulants ,dalteparin,978737,0.3 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,69020602
Anticoagulants ,dalteparin,978737,0.3 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,692062
Anticoagulants ,dalteparin,978737,0.3 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,62195010401
