"rxcui","in","str","unit"
"262095","atorvastatin","80","MG"
"2631867","atorvastatin","4","MG"
"617314","atorvastatin","10","MG"
"617318","atorvastatin","20","MG"
"617320","atorvastatin","40","MG"
"750199","amlodipine","10","MG"
"750199","atorvastatin","10","MG"
"750203","amlodipine","10","MG"
"750203","atorvastatin","20","MG"
"750207","amlodipine","10","MG"
"750207","atorvastatin","40","MG"
"750211","amlodipine","10","MG"
"750211","atorvastatin","80","MG"
"750215","amlodipine","2.5","MG"
"750215","atorvastatin","40","MG"
"750227","amlodipine","5","MG"
"750227","atorvastatin","10","MG"
"750231","amlodipine","5","MG"
"750231","atorvastatin","20","MG"
"750235","amlodipine","5","MG"
"750235","atorvastatin","40","MG"
"750239","amlodipine","5","MG"
"750239","atorvastatin","80","MG"
"2631863","atorvastatin","4","MG"
"574676","atorvastatin","80","MG"
"617313","atorvastatin","10","MG"
"617317","atorvastatin","20","MG"
"617319","atorvastatin","40","MG"
"750197","amlodipine","10","MG"
"750197","atorvastatin","10","MG"
"750201","amlodipine","10","MG"
"750201","atorvastatin","20","MG"
"750205","amlodipine","10","MG"
"750205","atorvastatin","40","MG"
"750209","amlodipine","10","MG"
"750209","atorvastatin","80","MG"
"750213","amlodipine","2.5","MG"
"750213","atorvastatin","40","MG"
"750225","amlodipine","5","MG"
"750225","atorvastatin","10","MG"
"750229","amlodipine","5","MG"
"750229","atorvastatin","20","MG"
"750233","amlodipine","5","MG"
"750233","atorvastatin","40","MG"
"750237","amlodipine","5","MG"
"750237","atorvastatin","80","MG"
"1422086","ezetimibe","10","MG"
"1422086","atorvastatin","10","MG"
"1422093","ezetimibe","10","MG"
"1422093","atorvastatin","20","MG"
"1422096","ezetimibe","10","MG"
"1422096","atorvastatin","40","MG"
"1422099","ezetimibe","10","MG"
"1422099","atorvastatin","80","MG"
"259255","atorvastatin","80","MG"
"2630760","atorvastatin","4","MG"
"404011","amlodipine","5","MG"
"404011","atorvastatin","80","MG"
"404013","amlodipine","10","MG"
"404013","atorvastatin","80","MG"
"597967","amlodipine","10","MG"
"597967","atorvastatin","20","MG"
"597971","amlodipine","2.5","MG"
"597971","atorvastatin","10","MG"
"597974","amlodipine","2.5","MG"
"597974","atorvastatin","20","MG"
"597977","amlodipine","5","MG"
"597977","atorvastatin","10","MG"
"597980","amlodipine","5","MG"
"597980","atorvastatin","20","MG"
"597984","amlodipine","5","MG"
"597984","atorvastatin","40","MG"
"597987","amlodipine","10","MG"
"597987","atorvastatin","10","MG"
"597990","amlodipine","10","MG"
"597990","atorvastatin","40","MG"
"597993","amlodipine","2.5","MG"
"597993","atorvastatin","40","MG"
"617310","atorvastatin","20","MG"
"617311","atorvastatin","40","MG"
"617312","atorvastatin","10","MG"
"2630757","atorvastatin","4","MG"
"329299","atorvastatin","80","MG"
"597966","atorvastatin","20","MG"
"597970","atorvastatin","10","MG"
"597983","atorvastatin","40","MG"
"103919","fluvastatin","40","MG"
"687048","fluvastatin","80","MG"
"563453","fluvastatin","40","MG"
"687046","fluvastatin","80","MG"
"310404","fluvastatin","20","MG"
"310405","fluvastatin","40","MG"
"360507","fluvastatin","80","MG"
"328265","fluvastatin","20","MG"
"328267","fluvastatin","40","MG"
"330788","fluvastatin","80","MG"
"884383","lovastatin","60","MG"
