GCDF,NDC
PS,"ADHESIVE PATCH, MEDICATED"
QJ,"ADHESIVE PATCH, MEDICATED SELF-HEATING"
AB,AEROSOL (GRAM)
AA,AEROSOL (ML)
XA,"AEROSOL POWDER, BREATH ACTIV WITH SENSOR"
AY,"AEROSOL POWDER, BREATH ACTIVATED (EA)"
AJ,AEROSOL WITH ADAPTER (GRAM)
AH,AEROSOL WITH ADAPTER (ML)
AO,"AEROSOL, BREATH ACTIVATED"
VC,"AEROSOL, BREATH ACTIVATED (ML)"
AW,"AEROSOL, FOAM WITH APPLICATOR (GRAM)"
AM,"AEROSOL, MIST"
AP,"AEROSOL, POWDER (GRAM)"
AQ,"AEROSOL, SPRAY (GRAM)"
AS,"AEROSOL, SPRAY (ML)"
DO,"AEROSOL, SPRAY WITH PUMP (EA)"
BN,"AEROSOL, SPRAY WITH PUMP (GRAM)"
AT,"AEROSOL, SPRAY WITH PUMP (ML)"
HR,AMPUL (EA)
HH,AMPUL (ML)
AL,AMPUL FOR NEBULIZATION (ML)
BI,"AMPUL, LUER TIP"
IT,AUTO-INJECTOR (EA)
IS,AUTO-INJECTOR (ML)
YE,BANDAGE
EB,BAR
GK,"BLISTER, WITH INHALATION DEVICE"
ZB,BOX
FC,"BULK BAG, INJECTION (EA)"
CA,CAPSULE
CA,"CAPSULE (HARD, SOFT, ETC.)"
NI,CAPSULE (WITH DELAYED RELEASE TABLETS)
FZ,"CAPSULE SPRINKLE, EXTENDED RELEASE 24 HR"
NF,"CAPSULE SPRINKLE,ER 12 HR (DON'T CRUSH)"
NF,"CAPSULE SPRINKLE,ER 12 HR(TAMPER RESIST)"
DF,"CAPSULE, DELAYED & EXTENDED RELEASE"
GQ,"CAPSULE, DELAYED RELEASE SPRINKLE"
CX,"CAPSULE, DELAYED RELEASE, BIPHASIC"
CX,"CAPSULE, DELAYED RELEASE, MULTIPHASIC"
DF,"CAPSULE, DELAYED, AND EXTENDED RELEASE"
UG,"CAPSULE, DOSE PACK"
CU,"CAPSULE, ER SPRINKLE, BIPHASIC 40-60"
CC,"CAPSULE, EXT RELEASE 24 HR"
CS,"CAPSULE, EXTENDED RELEASE"
CB,"CAPSULE, EXTENDED RELEASE 12 HR"
CR,"CAPSULE, EXTENDED RELEASE 24HR"
CM,"CAPSULE, EXTENDED RELEASE MULTIPHASE"
CN,"CAPSULE, EXTENDED RELEASE PELLETS"
CP,"CAPSULE, EXTENDED RELEASE PELLETS 24 HR"
QY,"CAPSULE, EXTENDED RELEASE TRIPHASIC 24HR"
CT,"CAPSULE, EXTENDED-RELEASE DEGRADABLE"
NU,"CAPSULE, LIQUID-FILLED, RAPID RELEASE"
CQ,"CAPSULE, SEQUENTIAL"
LT,"CAPSULE, SOLID DISPERSION"
CK,"CAPSULE, SPRINKLE"
CD,"CAPSULE, WITH INHALATION DEVICE"
BO,"CAPSULE,24HR EXTENDED RELEASE PELLET CT"
WK,"CAPSULE,DEL RELEASE,EXT RELEASE SPRINKLE"
CE,"CAPSULE,DELAYED RELEASE (ENTERIC COATED)"
DN,"CAPSULE,EXT.RELEASE 24 HR BIPHASIC 17-83"
DL,"CAPSULE,EXT.RELEASE 24 HR BIPHASIC 25-75"
DN,"CAPSULE,EXT.RELEASE 24H MULTIPHASE17-83"
DL,"CAPSULE,EXT.RELEASE 24H MULTIPHASE25-75"
GO,"CAPSULE,EXTENDED RELEASE 24 HR DOSE PACK"
CG,"CAPSULE,EXTENDED RELEASE BIPHASIC 30-70"
CH,"CAPSULE,EXTENDED RELEASE BIPHASIC 50-50"
CI,"CAPSULE,EXTENDED RELEASE MULTIPHASE 12HR"
CJ,"CAPSULE,EXTENDED RELEASE MULTIPHASE 24HR"
CG,"CAPSULE,EXTENDED RELEASE MULTIPHASE30-70"
CH,"CAPSULE,EXTENDED RELEASE MULTIPHASE50-50"
CT,"CAPSULE,EXTENDED-RELEASE 24HR DEGRADABLE"
IM,"CAPSULE,IMMEDIATE, DELAY RELEASE,BIPHASE"
MD,"CAPSULE,ORAL ONLY, EXT. RELEASE PELLETS"
MH,"CAPSULE,ORAL ONLY, EXTENDED RELEASE 12HR"
GC,"CAPSULE,SPRINKLE,EXT REL 24 HR DOSE PACK"
HI,CARTRIDGE (EA)
HJ,CARTRIDGE (ML)
MB,CARTRIDGE WITH INHALER
MB,"CARTRIDGE, WITH INHALATION DEVICE"
PL,CLEANSER (GRAM)
PN,CLEANSER (ML)
LW,"CLEANSER, GEL (ML)"
BX,"CLEANSER, GEL EXTENDED RELEASE"
ZW,"COMBINATION PACK, PREFILLED APPL.& CREAM"
ZD,COMBINATION PACKAGE (EA)
ZM,COMBINATION PACKAGE (GRAM)
ZL,COMBINATION PACKAGE (ML)
LC,"COMBINATION PACKAGE, CLEANSER & LOTION"
LC,"COMBINATION PACKAGE, CLEANSER AND LOTION"
ZS,"COMBINATION PACKAGE, CREAM & LOTION"
BW,"COMBINATION PACKAGE, CREAM AND GEL"
MU,"COMBINATION PACKAGE, GEL AND POWDER"
BV,"COMBINATION PACKAGE, OINTMENT & CREAM"
ZR,"COMBINATION PACKAGE, OINTMENT & LOTION"
BV,"COMBINATION PACKAGE, OINTMENT AND CREAM"
MM,"COMBINATION PACKAGE, SOLUTION AND CREAM"
ZX,"COMBINATION PACKAGE, TAB & SOFT CHEW CAP"
ZO,"COMBINATION PACKAGE, TAB MP 24HR & CAP"
ZF,"COMBINATION PACKAGE, TABLET & DR CAP"
ZF,"COMBINATION PACKAGE, TABLET AND DR CAP"
ZW,"COMBO PACK, PREFILLED APPL. AND CREAM"
