GNN,STR,NDC
WARFARIN SODIUM,5 MG,00832121600
INSULIN DETEMIR,100/ML (3),00169643910
PROPRANOLOL HCL,80 MG,23155011401
LEVOTHYROXINE SODIUM,88 MCG,00527134410
TRAMADOL HCL,50 MG,00378415101
GLIMEPIRIDE,4 MG,00093725601
OXYCODONE HCL/ACETAMINOPHEN,5MG-325MG,53746020301
POTASSIUM CHLORIDE,10 MEQ,00781152610
MELOXICAM,15 MG,65862009801
CIPROFLOXACIN HCL,250 MG,16252051401
ATENOLOL,50 MG,50742010201
ATENOLOL/CHLORTHALIDONE,100MG-25MG,00378206493
VALSARTAN,320 MG,00078036034
MELOXICAM,15 MG,68180050201
"ESTROGENS,CONJUGATED",0.625 MG/G,00046087293
AMLODIPINE BESYLATE,10 MG,31722023910
NITROFURANTOIN MACROCRYSTAL,50 MG,00378165001
ALENDRONATE SODIUM,35 MG,16714063201
METFORMIN HCL,850 MG,00093104901
METOLAZONE,2.5 MG,65580064371
HYDROCODONE BIT/ACETAMINOPHEN,10MG-500MG,53746011905
CARVEDILOL,3.125 MG,68382009205
CLOBETASOL PROPIONATE/EMOLL,0.05 %,63032010100
ENALAPRIL MALEATE,10 MG,15338022030
OMEPRAZOLE,20 MG,55111015830
CLOTRIMAZOLE,1 %,00168013330
INTERFERON BETA-1A/ALBUMIN,44MCG/.5ML,44087004403
METOLAZONE,5 MG,65580064471
CARTEOLOL HCL,1 %,24208036705
ATOMOXETINE HCL,60 MG,00002323930
ALBUTEROL SULFATE,8 MG,00378412401
IBUPROFEN,600 MG,55111068305
ALPRAZOLAM,0.5 MG,00228202950
LISINOPRIL,5 MG,00172375860
BENAZEPRIL HCL,20 MG,65162075310
"CALCITONIN,SALMON,SYNTHETIC",200/DOSE,60505082306
HYDROXYZINE HCL,25 MG,23155010610
TAMSULOSIN HCL,0.4 MG,51079029401
HYDROCORTISONE BUTYRATE,0.1 %,43478027145
ALENDRONATE SODIUM,10 MG,00093514156
OMEPRAZOLE,40 MG,62175013632
GLIMEPIRIDE,2 MG,16729000201
ATAZANAVIR SULFATE,150 MG,00003362412
ISOSORBIDE MONONITRATE,60 MG,00603411132
LITHIUM CARBONATE,300 MG,00054002125
HYDROCORTISONE,5 MG,00603389919
PRAVASTATIN SODIUM,40 MG,68180048709
PAROXETINE HCL,30 MG,68382009905
LEVOTHYROXINE SODIUM,150 MCG,00074706990
GLYBURIDE/METFORMIN HCL,5 MG-500MG,00093571201
HYDROXYUREA,500 MG,49884072401
LATANOPROST,0.005 %,00378964532
TEMAZEPAM,30 MG,67877014701
FEXOFENADINE HCL,60 MG,00093725205
LISINOPRIL/HYDROCHLOROTHIAZIDE,10-12.5MG,65862004305
NORETHINDRONE,0.35 MG,52544089228
TOPIRAMATE,100 MG,13668003360
CEFPROZIL,500 MG,16714020901
VANCOMYCIN HCL,1 G,67457022220
PROPAFENONE HCL,425 MG,49884021102
TORSEMIDE,20 MG,60505023401
OXYCODONE HCL/ACETAMINOPHEN,5MG-325MG,00054465025
CALCIPOTRIENE,0.005 %,00430302015
CHLOR-MAL/PHENYLEPH/METHSCOP,4-10-1.25,00277016001
CIPROFLOXACIN HCL,250 MG,16714065102
LEVOTHYROXINE SODIUM,112 MCG,00074929690
CLINDAMYCIN PHOSPHATE,1 %,00168020360
LEVOTHYROXINE SODIUM,100 MCG,00074662490
LOSARTAN POTASSIUM,50 MG,65862020230
AMITRIPTYLINE HCL,10 MG,51079013163
SPIRONOLACTONE,25 MG,00603576332
DEXTROMETHORPHAN HBR/QUINIDINE,20 MG-10MG,64597030160
PRAMIPEXOLE DI-HCL,1.5 MG,00781525292
LAMOTRIGINE,150 MG,00093724705
TIMOLOL MALEATE,0.5 %,61314022505
AMLODIPINE BESYLATE/BENAZEPRIL,10MG-20MG,68180075801
CYCLOBENZAPRINE HCL,10 MG,00378075101
AMLODIPINE BESYLATE,10 MG,67877019905
BUSPIRONE HCL,30 MG,00378117591
PANTOPRAZOLE SODIUM,20 MG,00093001198
TRAZODONE HCL,100 MG,00603616132
DOCUSATE SODIUM,100 MG,37205026501
RANITIDINE HCL,150 MG,53746025301
ATENOLOL,25 MG,53489053610
CLOTRIMAZOLE/BETAMETHASONE DIP,1 %-0.05 %,00168037030
MEGESTROL ACETATE,40 MG,49884029005
INDOMETHACIN,50 MG,00378014705
CLONIDINE HCL,0.2 MG,29300013601
EMTRICITABINE/TENOFOVIR,200-300MG,61958070101
ZONISAMIDE,100 MG,68462013001
FENTANYL,25MCG/HR,00781724155
TRIFLUOPERAZINE HCL,2 MG,00781103201
ISOSORBIDE MONONITRATE,30 MG,62175012837
ATENOLOL,25 MG,68382002210
FENTANYL,25MCG/HR,00406902576
CLOTRIMAZOLE/BETAMETHASONE DIP,1 %-0.05 %,51672404806
VALPROATE SODIUM,250 MG/5ML,00121067516
BOSENTAN,125 MG,66215010206
PREDNISONE,2.5 MG,00054474225
FLUNISOLIDE,25 MCG,24208034425
IMIPRAMINE HCL,50 MG,00781176601
NADOLOL,80 MG,00378113201
CLOBETASOL PROPIONATE/EMOLL,0.05 %,51672129703
PREDNISONE,10 MG,00591544210
LEVETIRACETAM,750 MG,68180011416
LEVOTHYROXINE SODIUM,75 MCG,00781518201
CYPROHEPTADINE HCL,4 MG,00093292910
HYDROCHLOROTHIAZIDE,50 MG,00172208960
CITALOPRAM HYDROBROMIDE,20 MG,13668001030
ROPINIROLE HCL,0.5 MG,00054011725
PROPRANOLOL HCL,60 MG,00378616001
CYCLOBENZAPRINE HCL,5 MG,00591325601
FELBAMATE,400 MG,00037043001
NAPROXEN,375 MG,00378055501
DOXYCYCLINE MONOHYDRATE,100 MG,00527133850
TACROLIMUS,1 MG,00378204601
AMLODIPINE BESYLATE,5 MG,59762153005
ZOLPIDEM TARTRATE,5 MG,60505260400
RAMIPRIL,5 MG,00054010829
METHYLPHENIDATE HCL,20 MG,00406145101
GABAPENTIN,300 MG,60505011301
LEVOTHYROXINE SODIUM,50 MCG,60793085101
RISPERIDONE MICROSPHERES,50 MG/2 ML,50458030811
METHOCARBAMOL,750 MG,00603448621
METFORMIN HCL,500 MG,57664039751
ALPRAZOLAM,2 MG,59762372201
MIRTAZAPINE,30 MG,00591111810
BENZONATATE,100 MG,67877010501
WARFARIN SODIUM,2.5 MG,60429078610
QUINIDINE SULFATE,200 MG,00591543810
RIVASTIGMINE TARTRATE,1.5 MG,00078032306
BETAMETHASONE DIPROPIONATE,0.05 %,51672127401
LEVETIRACETAM,250 MG,00054015023
HYDROCORTISONE BUTYRATE,0.1 %,14290031461
BETAMETHASONE DIPROPIONATE,0.05 %,00472038145
ALCOHOL ANTISEPTIC PADS,,37205015578
GLIMEPIRIDE,2 MG,00378401201
BROMPHENIRAM/PE/DIHYDROCODEINE,4-7.5-3/5,68032048916
NIFEDIPINE,30 MG,00182823289
SODIUM POLYSTYRENE SULFONATE,15G/60ML,00054016563
GABAPENTIN,100 MG,00228266511
METOPROLOL SUCCINATE,50 MG,49884040510
DONEPEZIL HCL,5 MG,13668010290
LEVOTHYROXINE SODIUM,100 MCG,00074662413
FUROSEMIDE,20 MG,50742010401
AMOXICILLIN,250 MG,00093226801
IMIPRAMINE HCL,25 MG,00781176410
GALANTAMINE HBR,8 MG,00378272291
0.9 % SODIUM CHLORIDE,0.9 %,00338004904
LANTHANUM CARBONATE,500 MG,54092025290
LEVOTHYROXINE SODIUM,100 MCG,00456132301
NIZATIDINE,150 MG,55111031060
TOPIRAMATE,100 MG,68462010910
BRIMONIDINE TARTRATE,0.15 %,00023917715
CARVEDILOL,25 MG,55111025501
AMLODIPINE BESYLATE,2.5 MG,55111026990
PILOCARPINE HCL,5 MG,00228280111
RISPERIDONE,4 MG,00378351491
PAROXETINE HCL,40 MG,68382000116
FOSINOPRIL/HYDROCHLOROTHIAZIDE,10-12.5MG,65862030801
FOLIC ACID,1 MG,00143971710
NORGESTIMATE-ETHINYL ESTRADIOL,7DAYSX3 28,52544024828
ESTROPIPATE,1.5 MG,00591041501
LEVOTHYROXINE SODIUM,175MCG,00781518801
COLCHICINE,0.6 MG,64125010401
CLINDAMYCIN PHOSPHATE,1 %,00168020260
VALSARTAN/HYDROCHLOROTHIAZIDE,160-25MG,00078038306
LISINOPRIL,10 MG,00904580889
TRIAZOLAM,0.25 MG,59762371803
ALENDRONATE SODIUM,10 MG,00378356701
DEXMETHYLPHENIDATE HCL,10 MG,00078043105
